,Address,Price,Square Feet,Latitude,Longitude
101,"3145 W Coronado Dr, Hurricane, UT 84737","$487,994","1,389 sqft",37.1820432,-113.3606093
102,"261 N 400 E, Logan, UT 84321","$379,900","2,152 sqft",41.73618949999999,-111.8248827
103,"210 S 100 E, Providence, UT 84332","$469,900","2,065 sqft",41.7038573,-111.81518
104,"780 W 1125 N UNIT 50, Cedar City, UT 84721","$95,000","1,500 sqft",37.6973394,-113.0748911
105,"565 N 550 E, American Fork, UT 84003","$539,900","2,236 sqft",40.3884177,-111.7844961
106,"1062 N 2000 E, Saint George, UT 84770","$665,000","2,080 sqft",37.1261923,-113.5420196
107,"3101 E Hunters Ridge Way, Heber, UT 84032","$525,000",,40.500965,-111.364837
108,"2184 W Carey Ln, St George, UT 84770","$950,000","3,376 sqft",37.1409947,-113.6302518
109,"1755 E 2370 S, Saint George, UT 84790","$489,000","1,703 sqft",37.0681662,-113.5470651
110,"382 N 200 W, Pleasant Grove, UT 84062","$579,900","2,874 sqft",40.3678357,-111.743882
111,"217 N 860 W, Spanish Fork, UT 84660","$389,000","1,032 sqft",40.1125882,-111.6692166
112,"879 E 1510 N, Ogden, UT 84404","$579,000","2,506 sqft",41.2849677,-111.9537163
113,"1407 E Logan Ave, Salt Lake City, UT 84105","$825,000","1,923 sqft",40.7345689,-111.8506402
114,"3519 N Layton Ridge Dr, Layton, UT 84040","$2,900,000","6,955 sqft",41.1110938,-111.9045075
115,"640 E 885 N, Beaver, UT 84713","$389,000","1,900 sqft",38.2858949,-112.630329
116,"416 S Parkside Cir, St George, UT 84770","$520,000","1,841 sqft",37.1012576,-113.6208622
117,"2090 N Tuweap Dr UNIT 48, Saint George, UT 84770","$648,000","2,048 sqft",37.1458388,-113.6296514
118,"6687 Haven Maple Dr, West Jordan, UT 84081","$569,900","2,641 sqft",40.6134664,-112.0502045
119,"8862 S Cheshire Dr, Sandy, UT 84093","$945,000","4,332 sqft",40.5903151,-111.8181583
120,"146 E 1470 S, Farmington, UT 84025","$550,000","1,955 sqft",40.9561178,-111.8841837
121,"3101 E Hunters Ridge Way S, Heber City, UT 84032","$525,000",,40.500965,-111.364837
122,"5123 W Summerdale Dr S #2, Herriman, UT 84096","$540,000","2,772 sqft",40.5137186,-112.0128605
123,"91 N 100 W, Salina, UT 84654","$205,000","1,554 sqft",38.9587837,-111.8621451
124,"11671 E Sunridge Cir LOT 2, Huntsville, UT 84317","$330,000","1,024 sqft",41.3611104,-111.6683398
125,"827 E 300 N, Brigham City, UT 84302","$373,000","2,250 sqft",41.517596,-112.0030873
126,"3651 N Native Dancer Dr, Cedar City, UT 84721","$499,999","2,652 sqft",37.7438721,-113.0919629
127,"9741 S Chesapeake Dr, South Jordan, UT 84095","$725,000","3,119 sqft",40.5743275,-111.9633577
128,"1031 N 500 E, Ogden, UT 84404","$110,000","1,560 sqft",41.2762195,-111.9664317
129,"2822 W Tampico Dr #97, Saint George, UT 84770","$699,500","2,484 sqft",37.1071804,-113.6433169
130,"1800 W 4500 S, Duchesne, UT 84021","$40,000",,40.2382927,-110.2535786
131,"106 N 400 E, Price, UT 84501","$195,000","2,304 sqft",39.60121460000001,-110.8032546
132,"575 S Red Cliffs Rd, Leeds, UT 84746","$575,000","2,719 sqft",37.2259716,-113.3744522
133,"4968 W 3175 S, Hurricane, UT 84737","$880,000","2,536 sqft",37.1229662,-113.4009137
134,"4330 W 9600 N, Elwood, UT 84337","$625,000","2,748 sqft",41.6838365,-112.1203634
135,"2726 E Snow Mountain Dr, Sandy, UT 84093","$1,270,000","1,582 sqft",40.5915281,-111.8145423
136,"408 E 600 S, River Heights, UT 84321","$399,000",,41.7211775,-111.8255542
137,"691 E Country Breeze Cir, Draper, UT 84020","$900,000","3,065 sqft",40.5167601,-111.8724854
138,"649 E Cedar Hollow Rd, Lehi, UT 84043","$735,000","4,802 sqft",40.4051912,-111.8447168
139,"60 S 6140 W, Saint George, UT 84737","$450,000","1,878 sqft",37.1602075,-113.43312
140,"240 S 1100 W, Salt Lake City, UT 84104","$375,000",,40.7639127,-111.92293
141,"3394 S Westcrest Rd #18, West Valley City, UT 84120","$120,000","3,176 sqft",40.698751,-111.9926605
142,"225 S Broadway St, Tooele, UT 84074","$399,900","1,704 sqft",40.5262398,-112.2877432
143,"5762 W Yorkshire Ct, Highland, UT 84003","$1,295,000","2,617 sqft",40.4178016,-111.798663
144,"153 S Desert Sage Ln, Washington, UT 84780","$449,900","1,670 sqft",37.1283562,-113.4985147
145,"N Highway 24 Hwy, Hanksville, UT 84734","$100,000","4,200 sqft",38.374418,-110.7153307
146,"392 Independence Way, North Salt Lake, UT 84054","$585,000","1,196 sqft",40.8349433,-111.8949321
147,"833 E Mountain Rd, Ogden, UT 84414","$1,499,000","1,350 sqft",41.3290138,-111.9544382
148,"1820 E 2000 S, Apple Valley, UT 84737","$750,000",980 sqft,37.0388329,-113.06427
149,"3100 Highway 89 E, Kanab, UT 84741","$100,000","2,000 sqft",37.1861398,-111.987211
150,"12172 S Window Arch Ln, Herriman, UT 84096","$699,950",,40.5301565,-112.0240465
151,"890 N 200 W, Pleasant Grove, UT 84062","$470,000","2,336 sqft",40.3729672,-111.7438826
152,"920 N 90 W, Santaquin, UT 84655","$449,900","2,717 sqft",39.9920608,-111.7877597
153,"1195 S Freedom Way, Big Water, UT 84741","$399,000","1,472 sqft",37.0686938,-111.6445986
154,"12937 S Canyon Lands Dr #438, Riverton, UT 84065","$799,999","4,595 sqft",40.5162065,-111.9813085
155,"1833 N Crest Rd, Saratoga Springs, UT 84045","$330,000","1,724 sqft",40.3964156,-111.9218717
156,"1165 W Indian Hills Dr UNIT 220, Saint George, UT 84770","$375,000","2,722 sqft",37.0910267,-113.6092577
157,"350 W 800 S UNIT 53, Logan, UT 84321","$34,999","1,495 sqft",41.7167294,-111.8446377
158,"452 N 1210 E, Spanish Fork, UT 84660","$369,000","2,464 sqft",40.1156752,-111.6336636
159,"2937 E Boulder Top Loop, Heber City, UT 84032","$669,000","4,938 sqft",40.5070087,-111.4133234
160,"35 W Broadway S UNIT 403, Salt Lake City, UT 84101","$899,000","2,520 sqft",40.7625093,-111.892406
161,"2115 E Ficus Way, Eagle Mountain, UT 84005","$495,000","5,670 sqft",40.3548617,-112.0030873
162,"9794 S Big Buck E, Duchesne, UT 84021","$235,000","2,476 sqft",40.1590788,-110.3428433
163,"15144 S 2200 W, Bluffdale, UT 84065","$900,000","1,936 sqft",40.4760827,-111.9487559
164,"8933 S 250 E, Sandy, UT 84070","$549,900","1,948 sqft",40.5892811,-111.8828257
165,"160 N Country Way, Fruit Heights, UT 84037","$560,000",,41.0380449,-111.9106907
166,"7457 E Stardust Ct #2.15, Heber City, UT 84032","$410,000","3,704 sqft",40.5986269,-111.2932823
167,"636 W Kokopelli Loop, Brian Head, UT 84719","$674,900","2,250 sqft",37.707388,-112.859508
168,"5225 N Dry Fork Canyon Rd, Vernal, UT 84078","$1,350,000","4,150 sqft",40.53022,-109.623709
169,"9450 S 1400 E, Sandy, UT 84092","$550,000","1,534 sqft",40.5794823,-111.8511062
170,"2189 W White Pine Canyon Rd, Park City, UT 84060","$30,000,000","1,308 sqft",40.6768467,-111.552769
171,"754 W Rust Bluff Dr, Saint George, UT 84790","$714,900",,37.0069426,-113.5995639
172,"4684 N Abbey Way, Eden, UT 84310","$925,000",,41.344336,-111.8573709
173,"385 S Canyon Way, Centerville, UT 84014","$549,000",,40.9135673,-111.8666965
174,"444 E Summit Dr, Park City, UT 84098","$1,500,000",,40.768915,-111.499444
175,"1042 W Dandy Cir, Bluffdale, UT 84065","$788,000",,40.473914,-111.9216247
176,"3685 W Clermont Dr, West Valley City, UT 84120","$489,900",,40.6731539,-111.979202
177,"6778 Kyle Earl Ln, Herriman, UT 84096","$675,000",,40.501821,-112.0525041
178,"1508 W 470 N, Hurricane, UT 84737","$409,900",,37.1696515,-113.2880593
179,"4393 S 3035 E, Holladay, UT 84124","$735,000",,40.6760802,-111.8067171
